Фрейм,Амплитуда
490,0.6254433
491,0.6159661
492,0.60341895
493,0.57276183
494,0.5725138
495,0.5405212
496,0.50667477
497,0.48731327
498,0.4684458
499,0.4608739
500,0.45979357
501,0.44551933
502,0.42600414
503,0.41993067
504,0.41104034
505,0.40189365
506,0.38803723
507,0.392036
508,0.38755578
509,0.37751576
510,0.3680201
511,0.35604015
512,0.34534195
513,0.3384956
514,0.32937068
515,0.31884265
516,0.31213206
517,0.30652177
518,0.29717988
519,0.28782043
520,0.28271833
521,0.27583143
522,0.26965743
523,0.26492655
524,0.2646869
525,0.26250252
526,0.26276034
527,0.25811142
528,0.25815356
529,0.25753146
530,0.25910884
531,0.26177493
532,0.26307327
533,0.26471427
534,0.2676488
535,0.26912308
536,0.26918873
537,0.26908562
538,0.26838994
539,0.26656434
540,0.2643741
541,0.26018494
542,0.2558816
543,0.25307885
544,0.24898279
545,0.24352658
546,0.23968573
547,0.23687674
548,0.23523556
549,0.23430175
550,0.2315212
551,0.22829445
552,0.22500564
553,0.22082265
554,0.21545014
555,0.21106595
556,0.20676029
557,0.2036564
558,0.27786812
559,1.0629188
560,1.7673631
561,1.3282746
562,0.8912932
563,0.7557445
564,0.6508207
565,0.57944715
566,0.5720255
567,0.52835333
568,0.5240131
569,0.51221603
570,0.4948118
571,0.4861622
572,0.47405788
573,0.46055925
574,0.45062906
575,0.45645654
576,0.8803138
577,1.294172
578,0.96414906
579,0.6409059
580,0.54418206
581,0.5137543
582,0.48115805
583,0.42059487
584,0.443685
585,0.55808663
586,0.96670574
587,0.94819945
588,0.7465075
589,0.6557818
590,0.60905176
591,0.5863537
592,0.5618115
593,0.57301176
594,0.6064544
595,0.58515763
596,0.58229756
597,0.60578156
598,0.6014015
599,0.58505374
600,0.5869492
601,0.604755
602,0.6893626
603,1.1034123
604,1.1274948
605,0.8801482
606,0.7363302
607,0.6300287
608,0.5768483
609,0.6093999
610,0.6836212
611,0.80274796
612,1.4540176
613,1.9158313
614,2.0386782
615,2.943709
616,3.167854
617,2.880185
618,2.7261505
